3,1,298017
3,2,55003
3,3,348020
4,1,21835249
4,2,2151123
4,3,576033
4,4,2803160
1,1,35002
2,1,22001
2,2,117007
3,1,237013
3,2,84005
3,3,353020
4,1,21779246
4,2,2104120
4,3,501029
4,4,2053117
1,1,28001
2,1,13001
2,2,121007
3,1,295017
3,2,65003
3,3,878051
4,1,21402224
4,2,2305132
4,3,450025
4,4,2316133
1,1,6001
2,1,6000
2,2,20001
3,1,277016
3,2,114006
3,3,659038
4,1,22031260
4,2,2119121
4,3,385022
4,4,2478142
1,1,8001
2,1,8000
2,2,27002
3,1,232013
3,2,40002
3,3,316018
4,1,21556233
4,2,2275131
4,3,508029
4,4,1847105
1,1,33002
2,1,66004
2,2,52003
3,1,254015
3,2,66003
3,3,861050
4,1,23107321
4,2,2154123
4,3,625036
4,4,2026116
1,1,83005
2,1,13000
2,2,80005
3,1,426024
3,2,174010
3,3,303018
4,1,21552232
4,2,2136123
4,3,541030
4,4,1917110
